SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit,Code,GLOSS ID_y,Country_y,Location,Connection,DCP ID,Last observation  Level,Time in GMT,Delay,TransmitInterval,View
SSC-cent,Centuri,France,42.97,9.35,"cent, cent2",cent,,,2207,3196,3176,[details],[edit],cent,,France,Centuri,ftp,,0.63,08:47,11',5',[open]
SSC-ceut,Ceuta,Spain,35.9,-5.32,ceut,,249.0,207,"1316, 1416, 1485, 1517, 498","1922, 650",2213,[details],[edit],ceut,249,Spain,Ceuta,web,,0.44,2017-09-19 07:00,2d,1d,[open]
SSC-ceut,Ceuta,Spain,35.9,-5.32,ceut,,249.0,207,"1316, 1416, 1485, 1517, 498","1922, 650",2213,[details],[edit],ceut1,,Spain,Ceuta,bgan,CEUT1,0.12,08:38,21',1',[open]
SSC-cfrt,Carloforte,Italy,39.14,8.31,CF06,,,,2076,,,[details],[edit],CF06,,Italy,Carloforte,web,,0.29,08:53,6',5',[open]
SSC-chenn,Chennai,India,13.1,80.3,chenn,chen,34.0,,205,2069,2440,[details],[edit],chenn,34,India,Chennai,ftp,43280,0.41,08:15,44',10',[open]
SSC-cher,Cherbourg,France,49.65,-1.63,"cher, cher2",cher,,,467,"3182, 3183, 3535",1748,[details],[edit],cher,,France,Cherbourg,ftp,,6.56,08:47,12',5',[open]
SSC-chij,Chichijima,Japan,27.08,142.18,chij,chij,103.0,47,1391,"2413, 808",2137,[details],[edit],chij,103,Japan,Chichijima,SWJP40,CHICHIJIMA,2.43,08:39,20',10',[open]
SSC-chnr,Chañaral,Chile,-26.35,-70.63,"chnr, chnr2",chnr,,,,,,[details],[edit],chnr,,Chile,Chañaral,SXCH40,ADC296A8,3.35,08:49,10',5',[open]
SSC-chnr,Chañaral,Chile,-26.35,-70.63,"chnr, chnr2",chnr,,,,,,[details],[edit],chnr2,,Chile,Chañaral,web,,3.25,08:48,10',5',[open]
SSC-chrl,Charlotteville,Trinidad and Tobago,11.32,-60.55,chrl,chrl,,,2007,,,[details],[edit],chrl,,Trinidad & Tobago,Charlotteville,SOTD10,A9C043BC,0.04,2016-08-16 13:33,401d,1h,[open]
SSC-chrp,Cherry Point,United States,48.86,-122.76,"chrp, chrp2",chrp,,,1633,,,[details],[edit],chrp,,USA,Cherry Point,web,336BB6AC,1.01,08:52,7',5',[open]
SSC-chrp,Cherry Point,United States,48.86,-122.76,"chrp, chrp2",chrp,,,1633,,,[details],[edit],chrp2,,USA,Cherry Point,SXXX03,336BB6AC,-6.68,08:45,14',5',[open]
